IN	134812613554
TH	133210262170
ER	119214789533
RE	108669181717
HE	106498528786
AN	105422467512
ON	100461773921
ES	97326307798
OR	85998433585
TE	80948650956
AT	80609883139
TI	79834588969
ST	78728300226
EN	77314896004
NT	71720202984
AR	68756067210
TO	68548751664
ND	68018862077
AL	64032793037
IT	60786494374
SE	58165976437
ED	57514469508
IS	56531345460
EA	55939058323
NG	54671896948
OU	52913816186
LE	52533619401
CO	52490369344
ME	50958591639
NE	48426255131
RI	48154583840
RO	46608666502
DE	46344292825
RA	46135420707
IO	45866820943
IC	45663138305
LI	45239121467
OF	44948393239
AS	43550945165
ET	42812689527
VE	42386634729
TA	42344542093
SI	41483080358
HA	41206270659
MA	40261070734
EC	39836916955
OM	38270823174
CE	37978263270
EL	37931534499
LL	36610231690
CA	35964886206
UR	35957660877
LA	35279652135
CH	34170408619
HI	34041908708
DI	33302437545
HO	33037260281
FO	32748744509
NS	32458807204
OT	32419391981
AC	31993660134
NA	31835157885
RS	31498209240
SO	31467005438
PR	31268978905
RT	31174956946
SA	31138171773
SS	31081241798
US	30677125454
NO	30618138499
IL	30603240902
TS	29972404314
EM	29776626954
CT	28898718663
GE	28502237355
LO	28357992178
EE	27451934708
BE	27212687351
TR	26996514264
NI	25359266664
PE	25126480018
IE	24933647247
PA	24898597250
NC	24737829432
PO	23703275501
OL	23553044761
DA	23279747379
AD	23202347740
VI	23140348141
UN	22987447404
AM	22902383711
UT	22499209523
WI	21486195066
MO	21343638917
SH	21322806441
YO	20264440566
AI	20090957077
EW	20003014022
OW	19972624694
OS	19821367131
FI	19753676090
EP	19436550393
TT	19222971337
MI	19090900236
OP	19077697278
IA	19042814662
WE	18727322433
AG	18418672749
SU	18318104818
ID	17905542743
DO	17706639517
OO	17541371381
IR	17041448765
SP	17010851034
PL	17001616925
SC	16886526539
AY	16749015766
WA	16616645822
IG	16254923119
EI	16135583953
RY	16071337298
LY	16052501931
TU	15817162046
UL	15752059735
IV	15535972775
IM	15472128922
AB	15386005538
TY	15214168398
CI	15114311349
AP	15049927877
EV	14977965012
EO	14770877724
EF	14743755990
OD	14558819018
FR	14439772192
RD	14380342944
BO	14280375980
RC	14278737404
MP	14257278755
GA	14191497542
BL	14155655885
KE	14119208748
DS	14113090545
CK	13780629739
OC	13671886937
BA	13622702607
LS	13556674443
RM	13536350081
FE	13440050156
EX	13356752941
FT	13171357353
AV	12702579090
EB	12666048968
LD	12631807015
WH	12042164275
GH	12038664661
GR	12028253431
GI	12005990636
WO	11770868120
OV	11763317241
CL	11632840915
RN	11557521313
BU	11550713430
EG	11512774220
FA	11428633961
GO	11021593048
DT	10976756096
LT	10910014701
UC	10702575520
IF	10654256107
YS	10570642040
HT	10529516272
DU	10242237496
VA	10061548421
UM	10007053570
CR	9927779823
PP	9875069347
BY	9859174066
PI	9629601171
CU	9565348552
OG	9537105190
UP	9388602522
FF	8927389303
NF	8729196286
BI	8714189475
KI	8615590792
AU	8610622447
LU	8610377071
OB	8520934320
RU	8479995978
UE	8457625777
RR	8457557665
EY	8418908993
IP	8282654910
QU	8281405449
OA	8232231588
UA	8227068864
MS	8187806253
TW	8118316093
MM	7863945051
DR	7792756412
MB	7720936043
RK	7673324341
NN	7623559267
PH	7561343147
BR	7470955906
NU	7465786219
TC	7358005916
SW	7312275570
PU	7257174438
NY	7149394479
SM	7051919359
RV	7048825612
YE	7000720946
UI	6967198562
PT	6901392028
NL	6853881320
SF	6792861643
RG	6774701154
UB	6765681016
RL	6736958349
YA	6723589408
MU	6695170465
DD	6513992572
TL	6510937489
AK	6438563979
UD	6346747965
OK	6337630431
YT	6272652335
KS	6218068120
OI	6197247704
FU	6162102012
DB	6154952809
WS	6152300106
SL	5977618166
AF	5971635350
GU	5967924547
RP	5964174774
CC	5922990413
GS	5910027525
IB	5903154131
GT	5752080734
UG	5736801207
EH	5682274341
TM	5594198669
SB	5554765729
NK	5529228890
LP	4956631224
PS	4936994208
EU	4861907859
HR	4812087922
YP	4770576225
GN	4692319436
SY	4676593607
NM	4584364328
SN	4581713888
JO	4529294446
WN	4496647198
TP	4481584579
DC	4458726250
RF	4407369994
BS	4406092091
SR	4378996072
FL	4335648043
SD	4313766677
JA	4192981909
AW	4177879274
MY	4121819744
DM	4111096663
YI	4088737647
CS	4078415715
YC	4065809966
JU	4054670856
LC	4046692044
CY	4025081908
GL	4011563990
DW	3860562254
SK	3854517035
RB	3838019263
HU	3823520600
JE	3747477349
TB	3716332695
DF	3715422721
YM	3629941896
XT	3628673601
TF	3611139685
NP	3592621275
DL	3577701820
DV	3577037604
LF	3565589819
VO	3540351272
DP	3534926059
EQ	3453509796
NV	3435172018
IZ	3432225830
NB	3413336523
KA	3410386694
OE	3398500076
XP	3378298285
PM	3267674878
TD	3231292348
OY	3224756847
YR	3213028237
DY	3212165655
LB	3160411900
RW	3123939253
ZE	3038306939
IK	3004540659
LM	2961674921
NW	2850280693
OH	2835788339
DG	2821158761
DH	2800725402
YL	2798711484
NH	2792670858
YB	2791607728
TN	2772908209
MT	2714425956
LR	2690464933
HN	2670439822
YW	2650158989
AH	2649442627
HY	2609376360
DN	2569370944
NR	2550646385
EK	2534125107
HS	2518213365
KN	2428470642
YN	2367224599
YD	2357064378
GY	2323709882
YF	2308211635
RH	2300596181
KO	2259439291
SG	2246645063
FS	2218585525
KT	2071966322
PY	2064349214
WR	2042709489
GG	1992235463
WW	1962296312
GC	1927221855
AZ	1919288786
AA	1913489177
FC	1841861062
AX	1830526601
XI	1830392546
HM	1825937267
WT	1807415715
LV	1803473089
FY	1724190100
XA	1718498310
OX	1680672450
YH	1678109748
TG	1671158263
UY	1633379480
MC	1626785459
XC	1625728079
GP	1616306418
HC	1611390370
CD	1555353527
XE	1553965388
ZA	1550549207
LW	1550108402
GF	1522326436
LK	1518763585
HP	1493976373
PD	1487379715
GM	1480461977
PC	1449681886
IX	1448111540
ZI	1424549625
FP	1417227743
HL	1416667280
UF	1416534510
LG	1387253469
LN	1384111140
UK	1372734372
TV	1368545035
GB	1366578321
BJ	1355781515
NJ	1346516080
SV	1317445135
AE	1267738358
ML	1266359764
FM	1242973272
KL	1241504553
ZO	1226090518
OJ	1211299844
YG	1197449390
LH	1181528402
GW	1174624262
BB	1170784338
GD	1162739419
EJ	1155599707
